Start date,Start time,End time,Subject
24/08/2020,7:55 AM,9:05 AM,testing1
25/08/2020,11:45 AM,12:55 PM,testing2
3/09/2020,7:55 AM,9:05 AM,testing1
4/09/2020,11:45 AM,12:55 PM,testing2
15/09/2020,7:55 AM,9:05 AM,testing1
16/09/2020,11:45 AM,12:55 PM,testing2
28/09/2020,7:55 AM,9:05 AM,testing1
29/09/2020,11:45 AM,12:55 PM,testing2
12/10/2020,7:55 AM,9:05 AM,testing1
13/10/2020,11:45 AM,12:55 PM,testing2
30/10/2020,7:55 AM,9:05 AM,testing1
2/11/2020,11:45 AM,12:55 PM,testing2
11/11/2020,7:55 AM,9:05 AM,testing1
12/11/2020,11:45 AM,12:55 PM,testing2
26/11/2020,7:55 AM,9:05 AM,testing1
27/11/2020,11:45 AM,12:55 PM,testing2
8/12/2020,7:55 AM,9:05 AM,testing1
9/12/2020,11:45 AM,12:55 PM,testing2
18/12/2020,7:55 AM,9:05 AM,testing1
21/12/2020,11:45 AM,12:55 PM,testing2
30/12/2020,7:55 AM,9:05 AM,testing1
31/12/2020,11:45 AM,12:55 PM,testing2
11/01/2021,7:55 AM,9:05 AM,testing1
12/01/2021,11:45 AM,12:55 PM,testing2
21/01/2021,7:55 AM,9:05 AM,testing1
22/01/2021,11:45 AM,12:55 PM,testing2
2/02/2021,7:55 AM,9:05 AM,testing1
3/02/2021,11:45 AM,12:55 PM,testing2
12/02/2021,7:55 AM,9:05 AM,testing1
15/02/2021,11:45 AM,12:55 PM,testing2
24/02/2021,7:55 AM,9:05 AM,testing1
25/02/2021,11:45 AM,12:55 PM,testing2
8/03/2021,7:55 AM,9:05 AM,testing1
9/03/2021,11:45 AM,12:55 PM,testing2
18/03/2021,7:55 AM,9:05 AM,testing1
19/03/2021,11:45 AM,12:55 PM,testing2
30/03/2021,7:55 AM,9:05 AM,testing1
31/03/2021,11:45 AM,12:55 PM,testing2
9/04/2021,7:55 AM,9:05 AM,testing1
12/04/2021,11:45 AM,12:55 PM,testing2
21/04/2021,7:55 AM,9:05 AM,testing1
22/04/2021,11:45 AM,12:55 PM,testing2
3/05/2021,7:55 AM,9:05 AM,testing1
4/05/2021,11:45 AM,12:55 PM,testing2
13/05/2021,7:55 AM,9:05 AM,testing1
14/05/2021,11:45 AM,12:55 PM,testing2
25/05/2021,7:55 AM,9:05 AM,testing1
26/05/2021,11:45 AM,12:55 PM,testing2
4/06/2021,7:55 AM,9:05 AM,testing1
7/06/2021,11:45 AM,12:55 PM,testing2
16/06/2021,7:55 AM,9:05 AM,testing1
17/06/2021,11:45 AM,12:55 PM,testing2
28/06/2021,7:55 AM,9:05 AM,testing1
29/06/2021,11:45 AM,12:55 PM,testing2
